product_id,商品名（簡潔）,カテゴリ,販売価格(JPY),元価格(JPY),割引,評価,直近販売数,商品URL,アフィリエイトURL,メイン画像,カテゴリ大,カテゴリ中,shop_id,shop_name,元タイトル
1005007009143875,車載充電器 30W,車載充電器,923,1964,53%,96.6%,324,https://ja.aliexpress.com/item/1005007009143875.html?pdp_npi=6%40dis%21JPY%211964%21923%21%21%2112.10%215.69%21%4021013cc617801942310858941e112e%2112000039045901523%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZD4Fr40YdGGtYluc16nbqMPlfB6B7Cy5xA0r26f8JTSDtNdrFkOfKyi57T8BzlChM3tfP9uFIYKgoMRZ9zHbzifUYHy8zcxxra9toWbcmnCotWqOZNfz3S9iaVRtDHsHcT9Qn4FeegTJPqpnLdFHNhWLl8dAeu1MBOHmxVJqlplOjsp0FLcw3WJtnyWlCNDkQhu7QSM6VJOVee3cA58MF98xMolI7CWtrcdTFY8UwpfsiHgrEv8R3jG7iefIGHpCaft828b2oBwXVchvO4FdifSpWd6NOCtf0G3ktRfpSoDc1hyPN98suoru3aJs12bbQxcqivzpQi9vWrWVcjofuYLJX7U9ObeHA1YS6IBr5BI0GRl33ffXXPSxkTTeXXti6Jkqc3pDEnfTbYDwD8nkllf0dqP5bKDWRbfp0mdNw04glNNoCpRXCP7tvIfslgcD1dSHGfRE4RYpYC41Gti2kXH5akWWTygm48zmw8ogz3Rhhwr0Z4Hl3XpUOqaABojdaND5lpkDosaUWFZb9PR7EG0zu8pOxSgi8YWjT9mbqQGqzdVmEtbEgIUtphGJ3NEwYQXctptY852NDv5a4ELSaYXywY41FRlsVfCXrXbjuOZjXuWVOauRZlsxCXPAWeawqsZ7ok7qbC3phEskGl4Yddl2Hf5kMwRxJOdc9J6ekP1mh4ASLQ3,https://ae-pic-a1.aliexpress-media.com/kf/S7640cf7f8199490cb3324bf6838cb53a3.jpg,電話および電気通信アクセサリ,携帯電話アクセサリー&パーツ,1103243235,Ugreen Official Store,【新入荷】UGREEN USBカーチャージャー 30W急速充電 4.0 QC4.0 QC3.0 PD Type C 急速車載USB充電器 iPhone 17 Xiaomi携帯電話対応
1005010569293811,USB-C ケーブル 240W,ケーブル,2307,4849,52%,96.8%,357,https://ja.aliexpress.com/item/1005010569293811.html?pdp_npi=6%40dis%21JPY%214849%212307%21%21%2129.87%2114.21%21%4021013cc617801942318561021e112e%2112000052850655265%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZeSK4XONWjq70TEJ6Qtd4WmTL312xubUTeEJcoFgK06V5vETx3yKqcDEJj8bWYywBII32x8Mn9BYJc44jxgUUsIe1FaXAj2u0ZtNJnRPvyDMCZxoJgggkSzSWCkUy9TnoFY2RCKupINOVnoIm4QaqGMzfmPKIQHQkq84t7IEaU3XKL64SumB9nvDEZtokwNgMPP1niyXBF7pNqbXKzWnfp8ZPCYPfH6t6xN9W1vGkJyi7ZJqnJUPrI7PdSS6FExRN3BTr7OihvkC7uhBNJTnCAWP61nUDpSxWNaXlTFOCoZYde5qC1CyYxKVrQT0FGQKbYsozgFJvhPC6jG9nJ2z2vLIa4XB8OWjmvxomgaP8SfZEUjZE3bI8yO2sod4DIt87pWqiBWVh1nuTHomyW0IgRvfYyX1pOWEGcohGk1MHn2nkdQjBEwPyGCoI71lhjBTMFwjGVZIiUD2DRL17W4e3NUwgtUuE9zUhuMt6Qo5oDWdnjwaFmgcaYHkRuVjkhT1f1wWs1P6QAvJ1TztsvdMP7qk9XPbyuVnpPNiR1j3zDzC70Jpa4kPH6OBLIhyfxshXILnUic32xelbxIwwxJDKcWjhlB1nG3et2rLO8pPrrj1zcZpx79KkyFva7ya2YGzHNjfesu5RTknUpZlPHKYEW1kHQ3wRvtD0u9swy2aMn5G6IyRDfd,https://ae-pic-a1.aliexpress-media.com/kf/Sf230d06566b94290ba8d4bcc383a207b9.jpg,電話および電気通信アクセサリ,携帯電話アクセサリー&パーツ,1103243235,Ugreen Official Store,UGREEN フル機能USB Cケーブル USB3.2 Gen2 10Gbps PD240W急速充電 4Kビデオ対応 ナイロン編み込み PC MacBook Samsung iPhone 17対応
1005007390056908,USB Type-Cアダプター,その他,581,1662,65%,97.0%,722,https://ja.aliexpress.com/item/1005007390056908.html?pdp_npi=6%40dis%21JPY%211662%21581%21%21%2110.24%213.58%21%4021013cc617801942318561021e112e%2112000040564832737%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZDrurE6bGSeTOUD73Mi1E8DnstFv4uEUWVkjrX1man3EsVyG6N4BMJte4IAIwRv3uVrpK3iRxRGXucQ0QhyRLvmOytfOAQmr7PHQHEmDHxYJUxkvKlsVkJS6kZTliMLIdXWHtGmgfRFEO9rZwdenGo5bQjSWwqtjst38zgP06oToUZg6lJGFNtuMiirYevCWs8Nsn2AeiOb1X2TSWkYVcFDncA8bpWZmlc9z2zQfPxXfgC7yntHglomf1NGoEcxGj9kH3tfz46bNB16zlrzuj6FBQaWtFn9tpwNwlGhlNCMwBt2CFTSIGB00fNBx8RjzJD3hhgSTJdUiUnjLGHOWzNXX1pWRl5HlndpPz2ValzVgwY0snFrQotcTeW1ot8O7EY4BMnE42iezAwhssdrJeaamX59Q0cNoKxma7ndR9VLEqhLHHFS1JxyQipQW1yfrgd85mcrlZprJ5mKPa2n1vlfn8MxLMSJkGEiwq9bqpKjPZVoFgPqhzJH2eMegCkbGoy7saYMZE2sLuPbn923b1KF4XVJGdlzrjoNXYAImsBVoLY1cdM7xh8lVnSqP3bfuhjxL9EMlTceSW5m4rDTic8I8x9crdd7ymYXqNLYH05L5Y7MhL0yyZBFuKOqRqLrtGDQzrVGL3hesFSel5KIdPafu6SvPfrz1Y1nrFe5TqecNs01fZWT,https://ae-pic-a1.aliexpress-media.com/kf/Sefe8626ab63645a299795e18797affa5G.jpg,Computer & Office,コンピュータ周辺機器,1103243235,Ugreen Official Store,"Ugreen-USB Type-Cアダプター,3.0,4ポート,アダプター,MacBook Pro,iPad Pro,Samsung Galaxy Note 10,s10用"
1005007260910345,USB-C ケーブル,ケーブル,559,1692,67%,98.2%,564,https://ja.aliexpress.com/item/1005007260910345.html?pdp_npi=6%40dis%21JPY%211692%21559%21%21%2110.42%213.44%21%4021013cc617801942318561021e112e%2112000041281326869%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZbuyv5WYjBi6x98hpcRIbVb5mYNhm2brX9i3uQlzwU5AucIGO8rZGTCH73O4SzfkakZrwTlc0P01E9rgauoqW7TcjPKtC2BLRK8qZvYQdFT34OjkB8DNE0O5eNKmgot1AvWkdPGPAnPtLEEd4SifFUq438eTFa3eTc99KStHqLhmPqZmtTlnFnwoj8vgRcd1h5DBGiQu7nbIihnldDkPHUNRDVCGWj1oYcHiyF8cMnqQy2G0chzrwI9Ofa050HTgo4kCvsaIa059XmYiFdHCvUDwfxuTfG8xFlLqxAwplh0PPQHfF6m3TdDVFrJIZRIiQUYWnXkPaCkpjMPOHEtA7Sf1efi0dTYKjpDIY2uZOnI6jDYmoKtTvYDjYHaKZCnNubCcb4wbsyoWDpjYKSJsvXhlO5oKBv9rcB6cdwy70R1nfkErwbsNR1IQwAWz8zkSfl399g4lN2zPsntenNDTLC7p5JBT0RI6Pl5pPhucGIPAmhMu2MoHjpmqqoqu8tb6wOiL6cWsK8PAXkzAHVhUCJDKvCBBdrJHZ7P9fMEFs7JCd0q8jZNhtAVOowYtnTmUA8fDxZ3121hNdjkNxE0xHklQppjhdlyaiuqoj0NSZrj1S1xX5RWoM3dZkMMCKvVZ0iNjbPMD5LYLQPvwYd0ghJDL6GVBm6K7d45WLbBNwS5V9wvHVkf,https://ae-pic-a1.aliexpress-media.com/kf/Saabc10f03f334506bde69e76a9b82933J.jpg,電話および電気通信アクセサリ,携帯電話アクセサリー&パーツ,1103243235,Ugreen Official Store,UGREEN USB 3.1 タイプ C OTG アダプタ USB A オス - USB C メスケーブルコンバータ Macbook Samsung S10 Huawei USB から Type-c OTG
1005007286906172,USB-Cハブ,USBハブ・ドック,1693,5291,67%,95.0%,420,https://ja.aliexpress.com/item/1005007286906172.html?pdp_npi=6%40dis%21JPY%215291%211693%21%21%2132.59%2110.43%21%4021013cc617801942330461157e112e%2112000040099706855%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZD43O9EKyU9RTXq3o0CVoY1kXOPmgbBmQb3a6wYb4mRG6tdTnQKls4s2xwnqD1fZFmdeXqoFwZJ7NqR2U5DA1Tx5J7aaEuvp7jZpbzAaWnF4QvhM2xoNay8w3qod3wUZYNlmIy7PxoazXtQ0bgEIQbPLHZLWuve10gsnQ04i5TeRIiaC0W0n7NVStyrQua1se3mftMwFDGA2XCcDx55yxIHgPNKyCFU420I2ThrjWfiYP8q1SGAL0m3ouE4ofDu2a9WhotSLMJyBGDh4G7ZvVK9pwODmVcGbE3rHMyvCPnAk2gdzHj9uczuuFx7kD32Zb9RZXG8ndhRFAkjvW4NWeSyGLzCFTqle7Dsp977MkLpDm43dPkUJFeBkiVejLKFNs2agvtQeJkGADmBua9FAgTFJRpO56f4Wp7NeMEyMg6Y4TC7YmIPmZmZ0bMbhxHyTCOlMq6hTTRk19JTw4iyXnDVIGdRH6A3SxGkbNxkNdNfW0XydoLIcFDiLoxEV4om9m9yh4Po1rhkU5QmIqGlp2rDjlH07vFbqgstQqKn7n5zXEYtA0KdF1pVqJWLRMtjzO7jq9ftEVSgm7FjRK7oHTjG384dMDEtJZKL8vxkDysy6USgReXpl5r0Vu8OoWawzcmlYXt0dCVWSP2oWuBBWI67kg7qi9DjhTmMhkXmZhO2XeSgzgJZ,https://ae-pic-a1.aliexpress-media.com/kf/Seb3669ccf39f4c82aca2a9c8a944adbdc.jpg,Computer & Office,コンピュータ周辺機器,1103243235,Ugreen Official Store,"MacBook Pro, Air,UGREEN-USBタイプCハブ,マルチポートアダプター,4ポート,10gbps"
1005007549932308,スマホホルダー,スマホアクセサリー,1207,2734,55%,97.2%,2142,https://ja.aliexpress.com/item/1005007549932308.html?pdp_npi=6%40dis%21JPY%212734%211207%21%21%2116.84%217.44%21%4021013cc617801942339381339e112e%2112000041256556052%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZDT3Vj5pDGUAsTq7TXNxbOUXo4wZKEIefdw2e8jgHniAAHLy12fmrxxSo2xGzJFCCurTxwSdQOiiIETmzlrQCvoVxyRjQda4WavUwIFLbnmFkY9zoBwfYR55DmWNwBf0dHPhpZeZk4bXMistJDHVoT8PS9g5I8do0oJG51Jtpr0cYaDR7FLY2lK9Zx5VeHMOyfYBrAdeaYgMsERUX6kzL9Yx2IxlPsfcugoQaUll4B5jM8jgD1fbhvLIpG5JjgbnSRRpKgiAsOEN0sKGrS0H4ZkpXwdihv4erSDEAza5WptHdUPSJfJvuBgVN0WZJ2TM3lVCzEs5ECMae6GrxhB1jPMd0gkyqqb06XFSOdXRfrHr2mxz0IbkH1gn9v9ig4PyQOauZ9pC5LpEKvp4aYRMTqpnZwjiWdsFfHXlRUHBXMJA783NNSgQ4zXlDwIig3SCveyb1Le7p2sLxFw0hjMA2DlK7o79CfmLTZZfmj7wKEJUs9LRPASf1mJUPJLsSAsg4xjfVzTMOzi37fxunn3jx9AsxdE7zEchhTlW1DgwHJy3I9uH3d7AVfpqSNZ0s8Nf1HKDK3IDzW6pzKAwyvqhFS9XIATEbw6DsowRwDTlMTxzEIAUDd0Sk0cicb2ver8QVU7rT3PTcEKqCxCXfmsGC7lyq9btGbbWKiqTBdMtB6CerAbeUmP,https://ae-pic-a1.aliexpress-media.com/kf/Se29448bb18904ec6837ef81d659829e4n.jpg,電話および電気通信アクセサリ,ホルダーとスタンド,1103243235,Ugreen Official Store,"Ugreen-磁気自動車電話ホルダー,iPhone 14 13 12 pro xiaomi samsung用の強力なマグネットホルダー"
1005007011185664,DAC,オーディオ機器,4759,11776,59%,96.3%,3395,https://ja.aliexpress.com/item/1005007011185664.html?pdp_npi=6%40dis%21JPY%2111776%214759%21%21%2172.54%2129.32%21%4021013cc617801942339381339e112e%2112000039933758753%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/pyFri10M6ltAv61YZY9TfrxiDaaFXRreuZWJMeLtD8jig1wPxn51K2eq59ds8iT5Wl5L3w5KJyrl7SjOO3B0oJ0Xjwnc7n8AQA7gf5qnT4sCyU05LNms9JvyWQNFHNKtzBcoBpSguMg3UBR1FOODkmGTloXosMhqhnKgzzuJPYPxewVvzupiAiKSJA5SK0iQRxmaQ7UPG0AP2HC7uLitVpvXIfjMl7RnsnN7B8FrGfP9TWP7emQeaXV90Bp9fLEiLeKHsRf9R2jgKD32Axm5na4bRJdkhGVyv3GcDgMjmYrrZWinWctR9gnPwA4orIq0p3t2ndIgfudTF8mgqu3EzFmMML2XOLW6bWRJngxOUQfNX2N2AKZZEohQCFsXb1gyaH5vKgX5uzQLGlN6CQmHu2oVm0fZ4SSdN9AyjkkFwL0fBe2qpKcRX38dXinnzihPjzmw0M4Tpb21o3Dl74edI1WFPqJ13oCwdW5JCli3aWgvdTh4qrsnH2jZnvqN2qLooupeis1UQXtuYXH79VE3fxtaPovdWLnaaisrYDreqyxkAPW1w6DKCLydAQnnfOA5RIsGOi5lXois3snp8NW8xmuZIOKcL6JsPLGtzw4xOC90oUF1EM1Jmgy8WKbuWD710iPiYTWzOkAxVBaPQg0Qzraex4VPxxHUhgQhgKpWJr26inTEw07YGucdruSeda8W1H9Tmrhsn54uvZM8yqq2bdpsi0npVnx70DmTtXgdiF9BJoKNJ8Fae78aYNDVZGi8drckml7wmeaaOcqCQGFabH82k4lsO6T44BuQ2IKNJ8YR2Xk5YUgNhIB8qNAzacprguw8xgN7RYNP5rwWI0RCvHrNFInkPx0qhP5igG0Be9MY4iNeNLk0C3IokZd57DVIxhmyisLm90SVQpuGhaxVJ47jyBvycX9mJY5pfhK3gq73clrxZ2HaXQjFRSmrG9UcWwFF2okZ4WzkxijRMFfgYnCNEhbpAeNHvL3WvtGCfNB0a7CQSivONNtV7iN3FpZrH8sZ0HV7,https://ae-pic-a1.aliexpress-media.com/kf/See426388b9854395a2156500ecf92640C.jpg,AV機器・カメラ,携帯用可聴周波及びビデオ,1103243235,Ugreen Official Store,Choice ワイヤレス Bluetooth ヘッドフォン 43dB ハイブリッド アクティブ ノイズ キャンセリング 高解像度 LDAC 75H スペーシャル オーディオ ヘッドセット イヤホン
1005008585918868,カメラ,カメラ・キャプチャ,1730,3714,53%,98.1%,321,https://ja.aliexpress.com/item/1005008585918868.html?pdp_npi=6%40dis%21JPY%213714%211730%21%21%2122.88%2110.66%21%4021013cc617801942350261553e112e%2112000045843058621%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZekj8dK1Hogz0iqvT2JGvWLBS8jZ4vGTUnDebevfuPsSlzZIJKxgDERdSzVCCjLCRxy9jDrEYC6BKl4XSKaVz4kyEd0rdfyUAV6ex9zdhuviv1zhM8lCGj7YMvAEYla8dWyvQNJ2VH7zkCVgr6B6JGB0Z8KqmcHPeyNJ1spHzxL0eTuj0zvbqByQDqX9ucF7Me20Y9XEE7WJVyAf7lsyouVFAbOWGjxNNobpD2LwHz2U9J5iP36UpEoUbInhMjyvU2bwt6mSY5hAYEinOXsI9eytUklYPTvLuZgka0OACP11SiTNzNyOA6jLPRXdJ2nhd9AskhM0Lv4h1SwAEUsC5ZdQydRcGW1rixLQwVlFevv4rLzcmmPTTwXUzjiGGpUOJVQxiLX7p5DRj0FNYU7laNJbZmcpL449Azp8OUKeZaJY4VDOCwVk2l7DtjQ83PVPzTNmwDp1FGJOyVtT8l3iXnQy2SrzQ55PfW1m9QI4r59OODyw1aFGHI2oOuX6vsYZcyP0VSfFKHanryfMAfKiIUANRYEzDhTHeARDWW4kilibUp1Exx0RuTJk6exWjixhj7CWkJA6h7d1s4fUF2qKWkuDntkYqapPWd2Mknj8eqRrxyCohZbutVAhw0aE2z89077LQHFgW4zdKNGBTxTL1DH4hPmkOoXK4vXdzcUWP371R6CJmcL,https://ae-pic-a1.aliexpress-media.com/kf/S98735b4688af405f955d59fafec788c7J.jpg,AV機器・カメラ,付属品及び部品,1103243235,Ugreen Official Store,UGREEN DisplayPort ケーブル DP 2.1 16K 8K 4K 60Hz HDR ビデオオーディオケーブル PC ラップトップ TV モニター プロジェクター カメラ用 Pと互換性あり
1005006981433797,リモート制御スイッチ,その他,4880,9760,50%,97.0%,808,https://ja.aliexpress.com/item/1005006981433797.html?pdp_npi=6%40dis%21JPY%219760%214880%21%21%2160.12%2130.06%21%4021013cc617801942350261553e112e%2112000038929711992%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZDA81ONuVWTFMFYFAIXQdXYwPBkyIEhEBxzIDDXLZlAIEdcHp9q6s03lbjwFosRl9sK4JsruwjlFJumI0Sk3wSXdwzCGN12Y2k1et4uhLNwXvTPFblCEK4eD8sBEUUQSDy3apVdK94anlOLYkt7pRCjnLSwItuN6Ogx8mLot8Eaay6GjnERpQGqCxhIJdFowctRIEF4gccY7TVr04pM22LOia5AMleN82mMwv8ZZQnYHMfhayxMNEYA66wVOS3XZocMrPw5HIuoiAgN1asS3ePYvVLynKhgtDjDUJuibAmZXXMcXNRi7ehJIzRM6lm8TplGJgdxqaMNxLfQ5jij3Md8nrADDc6o4XCinkJbU6NlHk6nEnWdaFoSSzKEZij8DDPuu4W9pABRIG5xWMeqNgtFDKRouPhXpOuIP7eGQOpOE7Fay3Mz6lHTd5uN7F8piU1SIs6HFQysOcPz9w3NjKaNPH1hd4HFb9HHYkFFusVDrFsnDGfbcCVlYbHXeS5uv5HHIMYHmI6vuNddRopJuzDB93SwFWcBj9jTmiyu131NLSWba078OT73Zs4HSMVSy9G0OIvLbHr0vldPlQktCPsmOhWiSWzpJJRWBDb9cN3vOJJcVJ6KrFqzvgXWzKeGxlmzBuWhJyhERmsTw9wCelMgkIxiKDHPwrrcbnIkDlJD6AfLMF2L,https://ae-pic-a1.aliexpress-media.com/kf/S892e42c260ae4bad99fe299cfbc1222cP.jpg,AV機器・カメラ,付属品及び部品,1103243235,Ugreen Official Store,"リモート制御スイッチ,UGREEN-HDMI 2.1,3 in 1,xboxコンバーター,ps5モニター,8k,60hz,4k,120hz"
1005007035686878,DP ケーブル,ケーブル,812,1625,50%,98.7%,436,https://ja.aliexpress.com/item/1005007035686878.html?pdp_npi=6%40dis%21JPY%211625%21812%21%21%2110.01%215.00%21%4021013cc617801942362061673e112e%2112000039202056775%21affd%21%21%21%211%210%21,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVYQ0Mzh096RddpgLNyH1Jw7Ux4qEZzWV48VLCZGONBoohygBdDhDEfyTBIr4CBnr6XplsdbcDCzhtL7kkKnMD1cIFFYQdJiqx28DBuixr0tpVmaaIyxnRLFWlqmi6IWzRBf5uvwZws6HAEmBJ7RTdPHyIxoRBhh88iTeGz63w3TxXDoZvCRmVidPy3AVPZR2qwXoZet8tFMXeFiJqB1uZbgEKwq5unYm8z1gaLSBkvvbZhSh7c7zW9HReCFgynBpXCv6RCHDwh5DE8UOOTRY4CskNrHMspcZUmHHpw8NZobZ9rbiAYtBAXyDIja9aTZN75QcqrpXNWqjzProKKVbhLTghtbkeVspzxYuCzcNgcC69zvf9qE1ljbrRCVfeUxK9rQuUsr6Q3MmtpVOk37dGaSmtf33rXK4dr9Hu7EhaRIMoXDCNLiPY3cqGQaF79dtX5nIPoWMcAQpSPNExGzJrpg7mswlrfB6mUTgwDytT0vZTsXbDECsOuMFtijMG5nrSd0LKoSCEUtabXD5We1lEfY0saq4ZWIsX7q7Ehgj2G4F3DVMQaXf8u9vH91D2kj41c2wsm4m6boKmGhN5ki6uV5Zl5X2zLj7DqpLaNYHoZH82fctLppL7hKeRbKjDRDDCJbMnTjx9DWkTS8esX11MiSuT2Sxa60hBQ5Jp8TVxEwHNxB4Q1HD,https://ae-pic-a1.aliexpress-media.com/kf/S9d5321084aa34b4b8cfe883b5f90aab33.jpg,AV機器・カメラ,付属品及び部品,1103243235,Ugreen Official Store,Ugreen 8 18k displayport 1.4ケーブルテレビ4 18k 144/165 60hz 32.4 5gbpsのdisplayport dp pcモニタープロジェクターdpケーブル
