ASIN,商品名（簡潔）,カテゴリ,価格(JPY),元価格(JPY),星評価,レビュー数,月間販売数,型番,在庫,商品URL,メイン画像,元タイトル
B0G8HJTJJD,Webカメラ,カメラ・キャプチャ,5584,,4,1,,85071A,Only 16 left in stock - order soon. Click here for details of availability.,https://www.amazon.co.jp/dp/B0G8HJTJJD,https://m.media-amazon.com/images/I/61c6erM9nTL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN FineCam 4K Webカメラ PC/Mac対応、1/2.55インチセンサー、フェイスAE、オートフォーカス、AIノイズキャンセリングマイク、ポートレートモード、ストリーミング・会議・OBS・Zoom・Teams・Switch 2に対応、プライバシーカバー、三脚付き
B0875NB89J,ルーター,ネットワーク機器,748,999,4.4,57628,4K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0875NB89J,https://m.media-amazon.com/images/I/71Nlkwo94fL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN LAN Cable CAT8 1M Mesh LAN Cable, Category 8 Connector, Ultra High Speed 40Gbps/2000MHz, CAT8 Compliant, Ethernet Cable, Prevents Clip Breakage, Shielded, Compatible with Modem, Router, PS3"
B07V78HMDQ,USB-C ケーブル 100W,ケーブル,788,1299,4.3,14671,5K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B07V78HMDQ,https://m.media-amazon.com/images/I/61DgZxJhEZL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB Type C Cable, PD Compatible, 100W/5A, Ultra Fast Charging, Nylon Braid, Disconnection Prevention, Compatible with iPhone 17/16/15 Series, iPad, MacBook Pro, Galaxy S24, Matebook, Xperia"
B0B19HP61V,USB 延長ケーブル USB 3.0 0.5m,USB延長ケーブル,748,998,4.3,15024,1K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0B19HP61V,https://m.media-amazon.com/images/I/61k2QnV6HsL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB Extension Cable, USB 3.0 5Gbps High Speed Data Transfer, A-A Type Male to Female USB Extension Cord, Nylon Braided Easy to Handle, 0.5M Qualifying Invoice Available"
B0CC8V1Y5F,HDMI ケーブル 1m,ケーブル,1359,1599,4.1,11825,2K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CC8V1Y5F,https://m.media-amazon.com/images/I/71BUa5RCOlL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB Type C to HDMI Conversion Cable 1M 4K@60Hz USB C to HDMI Conversion [Unidirectional Communication] [Only Supports USB-C Including DP Alt Mode] Compatible with Thunderbolt 3/4, MacBook"
B0CZDLWMFF,急速充電器,充電器,879,1099,4.3,15017,3K+ bought in past month,45275,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0CZDLWMFF,https://m.media-amazon.com/images/I/51YQhfXBGwL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN USB Type-C Conversion Adapter USB 3.1 10Gbps Type C Female to USB 3.0 Male Conversion QC3.0 Fast Charging and High-Speed Data Transfer Sync Compatible with Windows 10 / Mac OS MacBook iPad Pro
B07PYP57TQ,Lightning ケーブル 1m,ケーブル,1039,1272,4.4,18171,1K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B07PYP57TQ,https://m.media-amazon.com/images/I/61V7no1DJaL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN USB-C Lightning Cable [MFi Certified PD Compatible 1M] Fast Charging Lightning Cable High Durability Nylon Braid Compatible with iPhone 14 / 13 / 12 / 11 / X / 8 Plus and more
B0DSK82JK8,USB Type C Adapter,その他,1279,1599,4.4,19091,100+ bought in past month,40702P4A,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DSK82JK8,https://m.media-amazon.com/images/I/61k+5qFzuXL._AC_SY300_SX300_QL70_ML2_.jpg,"USB Type C Adapter, UGREEN USB 3.2 Gen1 High Speed Transfer Type C Adapter, Compatible with Thunderbolt 3 OTG, Compatible with iPhone 15 Pro Max, MacBook Pro 2021, MacBook Air 2022, iPad Pro 2021 and Other USB-C Devices, 4 Pack"
B07PP2RB25,USB-C ケーブル,ケーブル,543,890,4.3,13346,2K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B07PP2RB25,https://m.media-amazon.com/images/I/61QVF+H+eeL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN USB Type C Cable, USB A to USB C Cable, Nylon Braided, 3A Rapid Charging, Quick Charge 3.0/2.0 Compatible, 56K Resistor, Compatible with iPhone 17, Galaxy S24, Pixel, Google, Xperia, LG and"
B091BGMKYS,急速充電器 65W GaN 3ポート,充電器,2979,4280,4.3,12524,5K+ bought in past month,CD244,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B091BGMKYS,https://m.media-amazon.com/images/I/51gPSgAkqWL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Nexode 65W Rapid Charger Type-C【Genuine Product】3-Port【USB-C *2 and USB-A*1】PD3.0 PPS GaNII Foldable Compatible with iPhone 17/16/15/MacBook/iPad/Galaxy/Android/PC/45W/30W, PSE Compliant [Black"
B0G472X5KH,スマホケース,スマホアクセサリー,5999,,,,,D320,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0G472X5KH,https://m.media-amazon.com/images/I/71YCsDyDaRL._AC_SY300_SX300_QL70_ML2_.jpg,UGREEN M.2 NVMe SSD ケース SATA HDD/SSD クローンスタンド 10Gbps USB 3.2 Gen2 NVMe＋2.5/3.5インチ同時接続 UASP/TRIM対応 12V/2A電源付き Windows/Mac/Linux対応
B0875VL1CJ,ルーター,ネットワーク機器,1048,1399,4.4,57628,2K+ bought in past month,,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0875VL1CJ,https://m.media-amazon.com/images/I/719eOx6p-FL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN LAN Cable, 2M Mesh, Category 8 Connector, Ultra High Speed 40Gbps/2000MHz, CAT8 Compliant, Ethernet Cable, Prevents Clip Breakage, Shielded, Compatible with Modem, Router, PS3, PS4, Xbox and"
B0DY15GFNG,SDカードリーダー Type-C,SDカードリーダー,4492,5640,4.2,1313,100+ bought in past month,75028,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DY15GFNG,https://m.media-amazon.com/images/I/71scB9Eu7RL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN Revodok Pro 9-in-1 USB-C Hub, 10Gbps Data Transfer Support, 4K HDMI, Gigabit LAN, PD100W, SD/TF Card Reader, Compatible with MacBook/iPad/Surface and More"
B0DZX7X8YB,ワイヤレス充電器 25W 2-in-1 MagSafe,ワイヤレス充電器,4636,6990,3.8,1407,400+ bought in past month,W752,In Stock Click here for details of availability.,https://www.amazon.co.jp/dp/B0DZX7X8YB,https://m.media-amazon.com/images/I/51dqqFmc5pL._AC_SY300_SX300_QL70_ML2_.jpg,"UGREEN MagFlow 【World First Release, Technological Innovation】25W Qi2 Wireless Charger, Super Fast and Super Efficient Wireless Charging, MagSafe Compatible, 2-in-1 MagSafe Charger, Thermal Guard"
