商品名,カテゴリ,AmazonURL,AliExpressURL,マッチング精度,Amazon価格,Amazon型番,AmazonEnglishTitle,AliExpressTitle
Nexode Pro 160W GaN 急速充電器,ポータブル電源,https://www.yodobashi.com/product/100000001008292047/,,low,,,,
UGREEN 10000mAh 2way 急速充電モバイルバッテリー,モバイルバッテリー,https://www.yodobashi.com/product/100000001008431785/,,low,,,,
UGREEN 10000mAh マグネット式ワイヤレス充電対応モバイルバッテリー,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CCS1KZZT,,low,,,,
UGREEN 145W Power Bank モバイルバッテリー,モバイルバッテリー,https://www.amazon.co.jp/dp/B0BJQ7F16T,,low,"¥10,485",PB205,"UGREEN PD3.1 Mobile Battery, 145 W High Output, 25,000 mAh High Capacity, 3 Ports, 2 USB-C, 1 USB-A, Single Port, 140 W High Output, 65 W Input, Pass-Through Function, Low Current Mode, 240 W Cable Included, PSE Technical Standards Compliant, MacBook, Windows, PC, iPad Pro, iPhone 17, Galaxy S26 Ultra Android Smartphones, Laptops, PB 205",
UGREEN 3 in 1ワイヤレス充電ステーション MagSafe,ワイヤレス充電器,https://www.amazon.co.jp/dp/B09GVDBP58,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVZDrhCUTYgJPXLMw94ZHgNmNgQiXX4uIdInYcTL5pZfW3yuECriomDNhDxBAKO3pcjOcm6T0Bit5HASYredGMNN0X3F2mvlnrncstIAiLSMUxMRzAMMdvZwr07rdtGebsqAKHNpjNhvwvaYRlrs3pwIYITnCe8xHiYXsXkhOLsSAlTSbszZgTlG1F4ZIHozEKENos1qUjz9JJwfLQMWSvhfwa4qrTLVolSPydt1mMny58gERCb1y36CfCptgxrqcw8WdWc3hJBdAupdfSAQ4mWxhNK795M2JN0PRGJaIbTToxo1Q9HdeMwVlSQgB2TfnIXMwrNmtDlq8e33iNFFdFZUjpwlD0LexAmh4WV81aZBivkXqShaTvdHNJI7OcCCsu6iudlVSfeNtNge8rFqovGDLy0VwVNcWu5WfLJyz9i4c85kzJzCIii0as3xxtaERGASdGfvIuarh42hU9HRYZ4tACleIyFgo5BTaK6X4hafggvMN2xlGiWWoT9VeoRNiFmKhfI3QSGETpMk5PXbNyXDKVOMpvkxb9adaxbgnZyvV7eMSPJgfRmUYrEsGFuDlggOFBpGyhy2v5bvB1zsRMu6mUQnWGc0E0xSmzf4zZ8LqtYDfClFrKe4TZIUzEojP53RG3ENa9bkJ9qzzDQofg16msyBDh0VBi6q6ZMcpUwBdtascdjIL,medium,,,,"Ugreen-磁気自動車電話ホルダー,ダッシュボード,フロントガラス,通気孔,magsafe,iphone 16,15,14 pro,samsung xi,3 in 1"
UGREEN Built-In USB-Cコネクター モバイルバッテリー 5000mAh 22.5W,モバイルバッテリー,https://www.amazon.co.jp/dp/B0CXHRNVNW,,low,"¥2,760",35338,"UGREEN PB503 Power Bank with Built-in USB-C Connector, 5,000 mAh, Small and Compact, 22.5 W, Cordless, Lightweight, Integrated USBC, LED Screen Display and Stand Included, PSE Technical Standards",
UGREEN DigiNest Cube 65W GaNIII 充電器 7ポート,充電器,https://www.amazon.co.jp/dp/B0B1H8TX8Q,https://s.click.aliexpress.com/s/pyFri10M6ltAv61YZY9TfrxiDaaFXRreuZWJMeLtD8jig1wPxn51K2eq59ds8iT5Wl5L3w5KJyrl7SjOO3B0oJ0Xjwnc7n8AQA7gf5qnT4sCyU05LNms9JvyWQNFHNKtzBcoBpSguMg3UBR1FOODkmGTloXosMhqhnKgzzuJPYPxewVvzupiAiKSJA5SK0iQRxmaQ7UPG0AP2HC7uLitVpvXIfjMl7RnsnN7B8FrGfP9TWP7emQeaXV90Bp9fLEiLeKHsRf9R2jgKD32Axm5na4bRJdkhGVyv3GcDgMjmYrrZWinWctR9gnPwA4mq6daKxBvvb9ApAB7TcjyKtLd706F12NCGCJjcJFH1hbrA22n79uDRCph8izcJkAyxiFH7nOPmrVmirprcQPXIxEXbdlu368KrRabUUCYT5cw57GvR3OXvShJqW7YleYx8LHUXUd6jucXswtPxLkRa6hCGsTkwMoXbbxW06oNbGM98gliau711S6RnYLC5tAemoqfrL5RkRGHtcX1X8j8DnhI2mJ1dYwdeZ4uZT3twHC8GReuL78C39iqVEmIVK05isdg0SzACUmKgSCIRTFCLmzHQ6mb9tPI5sbyPDshNoA06liEHvTshvJRGklg8D6XtpKeV2HRiwBDX3gPVMEHWqln0TUQPDl3tHwVxfpPUfBvSPbLk5jfr65vWrHcQ0GnqwTeHw1lbiOb1ojBX7nhGiutk56oRwInBhejIYgdhHgt1HfQbUrzln8KiOV6sQfPOZzBB7j32mqTNLpYUDZXAh34rd1ec6HmlTzOCbjq8pe9roJ9C0qZZeEhi90h4Aq2G2g0O3AUZ7KMNnvBmAq4CtozAbCcrcWAsV3U9xbFZrwqbbhAw78NOqI1Fi1959Gw2IjGP5mQdQZ72R5rWI7wMkxzAJgKAhRIFIaVXWdtYCBxyF0CjECnRQM5Vx6QNF6ISkB6hSweQ1GyIkWDTHunUEfAdBn5ystPq1aEDACLWdANVaQOYdsjdrT0nfHmZESvnOhCHHWvoRot,medium,,,,UGREEN 65W GaN充電器 デスクトップ充電ステーション USB C電源タップ 急速充電器 ノートパソコン Macbook iPhone 17 16 Android携帯対応
UGREEN DigiNest Pro 100W GaNIII PD 充電器,充電器,https://www.amazon.co.jp/dp/B09XM5RYZ1,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVYQRG5UwTQ192R3yU4x2SXukl4OABDz99UADm9M2mX8XuEnSyglpAF8WgIxR3vdJ1H7G1cTHTsZOjWZc2iRxQiiEVjohTZQUdOQiVyi7iDz6OSWJQywcxyqBvzLAxdsnyPwovwiKLXP67OXCEQMmT8nWRHBm2sLvUq56JbnS8XHQouyLVIi4ryDH63lRMljZSu1JMqPxDMMrYQPKeXQ5CIenOnUbR0IEJt2SYLmYl28qf9u00b8nWnxluXgZhdAWdVTZiSTETbc4oYFCue9fDh5bVO9MSSftLWD5dfRyreMj45I90QdLI0sLfhCwj7CfiPBIs4unnAwP0ukxdHdzhRBCrHuFxHfzZbgzCHrukPj2XYBz6PdtXXUHPdPIFvGDBc1jr3bBMrJGQJjRdG3NeyyoNktZKzGWaRMNXElc4lQ9OCti9R8Cg85dNzer0eu7aOajLQ3BlIcTLDpUs1zy6y5pO4VxGhIQPr9SiY35ELTWQqAHm9Sgu9jceaJxbARnuVcoV1BWXa11bQhdCIPluJbf1FDyMtnAsoZNw3wEVgwkWtjP4vmnQgbKOLihnlpZjqXGM9ZGpPjFzOS20aHMiNgfnQFhYFEK1F4Jttf7lc1iytgYCSRiEJeDo8x8MJuyQyXmlRMEeRCc6X3eT5TrgRW0kPInxsiAs2pN5NYz1vqbCdjUGO5d,medium,,,,"Ugreen-電話用の高速充電器,iphone 15, 14, 13,pd 3.0,ipad pro,samsung,xiaomi,1m, 100w,30w"
UGREEN L型 USB C to Lightning ケーブル,ケーブル,https://www.amazon.co.jp/dp/B07Z96GHBQ,,low,"¥1,279",,"UGREEN L-Shaped USB C to Lightning Cable【MFi Certified】Lightning Cable Power Delivery Compatible 3A Fast Charging for iPhone 14 / iPhone 13/12/11/ iPad Mini, etc. Nylon Braided (1M)",
UGREEN L型 USB-C ケーブル PD 100W/5A急速充電 3M,ケーブル,https://www.amazon.co.jp/dp/B08HS6R164,https://s.click.aliexpress.com/s/NdpwztbAIgDMmxGbP8fFks7yUFfsHjzlImSYmA68h7xlMRgzueFsRgokQ9f9hcpVKttxtQE2VzIoqkXJXrpOr6uR3zv7mP4CDO9CddoFf4t0QE5DXPy8Pgjhz4irfQSEjEGUmy5yF3A5gJ9h3NYjLMgqIMqa3zcpq5E2BC3W5EbV40Dm9buQxWpZzw1lbX8Zm2kZtNIa4KyDieNjsH7IU6Yv8StELKVvT9r4eFAaXPGhwHsgaDqdNcmY116r3GC2YvsOopeiiZPhJrV0cwgOQDSkW93v7gVKDqPkXyZF1oSWa6wSAOeznMFVlVYQSTCt81x9peP210JRRj5Lm9nz7LtUykCzezJjnPI0RoCRPtg5UIsTXzDivseNMabMclTVztSPPf5RO1VszV1DNEirCxnGHddWrJSmVOSGVwjqu7W7u1hBYbuiEtkYVEhqOYnQPFeALphWzAqHxGigUwutVEXcSz9BcgzcZFXRxTBJqqQUFA6FC6Ab2p47z1rdK4wd31UXFlDAnnGhfFTSLMI9ic31pZvgpi9w6uzHLtqhwohTOagCgVHTZwRJ19LvacPTXaWBnxRbUG7C8c7qHM4UN7o4DDY6qPSyyYgdPkTZTVPdeB1qQfvIj0ro3XhJB43x1MtbVZEkLOWcbbxW9jZPcoFzSmHNSKNwE630sd9gbucdsv94nFY3DbMSClxuBnlegs9yoxZJ5y481WSdUAsRqZk9tE3YNqv5N6sKontnRkEVuTb1ZBBRSdEZT5NgUjXv38qVPOPLhDHmfiKDs6PpILWRrFqZFAOhS9u0xsuXvw62l8dHh1al4bsgGtrzN0BeuB9vsMicArgxRzMmAheZ67tKV8CREz6wwc6GplLqGnZqCfoE4sRWdV7Z4u16J7VRbZDN6rL5fezlcWrjcB7jkPyxmsT3PgUHsWNTYw8UpPRtfCn2MLQWjAnpz2PuRFnR4DkGZEi4Z0XyVPjYbRFZLKidqCFYWQ57qq3ZK2rXtWlrl,medium,,,,UGREEN USB C to USB C ケーブル PD100W iPhone 17 16 15 MacBook Samsung Galaxy S25 5A E-markerチップ搭載 急速充電 タイプCコード
